| 編號 | 名稱 | V | A | R | K | 教學風格 | 興趣力道 | 無興趣力道 | 學科 | 文學 | 外語 | 數學 | 自然 | 社會 | 藝術 | 健體 | 特殊效果 | 斜體字 |
| 31 | 基本能力 | o | o | | o | | x | 2 | MN | | | o | o | | | | U | 跳出死胡同，認識真學問。 |
| 32 | 基本能力 | | o | o | o | | x | 2 | CES | o | o | | | o | | | U | 不要在沙上蓋塔。 |
| 33 | 自學指導 | | | | | | 4 | 2 | MN | | | o | o | | | | I | 要怎麼檢查自己會不會？ |
| 34 | 自學指導 | | | | | | 4 | 2 | CES | o | o | | | o | | | I | 知識是用拿的，不是用給的。 |
| 35 | 獨立研究 | | | | | | 7 | x | * | | | | | | | | | 最好的老師，讓學生離開他之後，也學得好。 |
| 36 | 個別輔導 | | | | | | x | 4 | * | | | | | | | | U | 許多人的教育之路，由家教和課輔開始。 |
| 37 | 個別輔導 | | | | | | x | 4 | * | | | | | | | | U | 最有效的診斷，是一對一。 |
| 38 | 小階梯教學 | | | | | | x | 3 | * | o | o | | | | | o | U | 知識若切太細，雖然可以跟隨，卻會失去意義。 |
| 39 | 小階梯教學 | | | | | | x | 3 | * | | | o | o | | o | | U | 有人需要一步一步慢慢來。 |
| 40 | 小階梯教學 | | | | | | x | 3 | * | | | | | o | o | o | U | 千里之行，始於足下。 |
| 41 | 圖表分析 | o | | o | | | 3 | 0 | | | | | o | o | | | | 圖表自己會說話。 |
| 42 | 資料分析 | | o | o | | | 3 | 0 | | | | o | | o | | | | 表示法決定了資料的意義。 |
| 43 | 圖象秩序 | o | | | o | | 3 | 0 | | | | o | | | o | | | 一目了然。 |
| 44 | 山訓 | o | | | o | | 2 | 0 | NP | | | | | | | | U | 我們爬的是不同的山。 |
| 45 | 情境教學 | | o | | o | | 2 | 0 | EA | | | | | | | | U | 身歷其境。 |
| 46 | 詩作賞析 | | o | o | | | 2 | 0 | CE | | | | | | | | U | 詩是文字的結晶。 |
| 47 | 戲劇社 | | o | | o | | 2 | 0 | APS | | | | o | o | o | | U | 戴過許多面具，再來尋找自己。 |
| 48 | 籃球社 | o | | | o | | 2 | 0 | SP | | | | o | | o | | U | 打球打球！ |
| 49 | 寫作工坊 | | o | o | | | 2 | 0 | CA | o | o | | | | | | U | 創作是為了交流。 |
| 50 | 科學史 | | | o | | | 4 | 2 | MNS | | | o | o | o | | | | 掌握原始問題，就掌握了知識的大半。 |
| 51 | 語文史 | | | o | | | 4 | 2 | CES | o | o | | | | o | | | 博古而能通今。 |
| 52 | 藝術史 | | | o | | | 4 | 2 | AS | | | | | o | o | | | 簡潔與合一，是美的泉源。 |
| 53 | 華德福教學 | o | | | o | | 4 | 1 | NAP | | | | o | | o | o | | 透過身體，將意志帶進思考。 |
| 54 | 蒙特梭利教學 | | | o | o | | 4 | 1 | MSA | | | o | | o | o | | | 不必主動去教，只需觀察、引導、解惑。 |
| 55 | 蘇格拉底教學 | | o | | o | | 4 | 1 | MNE | | o | o | o | | | | | 我知我無知，所以就去問。 |
| 56 | 主題探索 | o | | | o | | 4 | 2 | | | | o | o | o | | | I | 知識無法傳授，只能重新發生。 |
| 57 | 合作討論 | | o | | o | | 4 | 2 | | o | | o | | o | | | I | 良好的討論，不是爭辯，而是合作。 |
| 58 | 任務導向 | | | o | o | | 4 | 2 | | | | | o | o | | o | I | 先彷作，再創作；有目標，則集中。 |
| 59 | 經典研讀 | | | o | | | 5 | 2 | C | o | | | | | | | | 看解說不如讀原典。 |
| 60 | 會話教學 | | o | | | | 5 | 2 | E | | o | | | | | | | Here we speak English only. |
| 61 | 體能集訓 | | | | o | | 5 | 2 | P | | | | | | | o | | 苦練、苦練、再苦練。 |
| 62 | 啟蒙導師遊戲 | o | o | | o | | 4 | 2 | | o | | o | | o | o | | I | 請支持自創遊戲！ |
